username,name,lastname,role,password,Fcoins
sprieto@gmail.com,Santiago,Prieto,Artist,asdfg12345,0
sprieto@gmail.com,Santiago,Prieto,Artist,asdfg12345,0
jeanpierr@gmail.com,Jeanpierr,Ramos,Artist,asdfg12345,0
jeanpierr@gmail.com,Jeanpierr,Ramos,Artist,asdfg12345,0
jeanpierr@gmail.com,Jeanpierr,Ramos,Artist,asdfg12345,0
jeanpierr@gmail.com,Jeanpierr,Ramos,Artist,asdfg12345,0
jeanpierr01@gmail.com,Jeanpierr,Ramos,Artist,asdfg12345,0
jeanpierr01@gmail.com,Jeanpierr,Ramos,Artist,asdfg12345,0
jeanpierr01@gmail.com,Jeanpierr,Ramos,Artist,asdfg12345,0
sprietogo@unbosque.edu.co,Santiago,Prieto,Artista,123,0
sprietogo@1,Santiago,Prieto,Artista,123,0
sprietfo@gmail.com,Santiago,Valverde,Artista,123,0
sprietogo@1ds,Santiago,Prieto,Artista,123,0
sprietogo@1xc,Santiago,Valverde,Artista,123,0
santiago@gmail.com,Santiago,Perez,Artista,123,0
